user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
BIN6	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	ANI	classification based on placement in class-level tree	GCA_017415425.1, s__Faecousia sp017415425, 95.0, 80.66, 0.22; GCA_017482385.1, s__Faecousia sp017482385, 95.0, 80.21, 0.19; GCA_017473225.1, s__Faecousia sp017473225, 95.0, 80.06, 0.18; GCA_017408725.1, s__Faecousia sp017408725, 95.0, 79.73, 0.22; GCA_015068225.1, s__Faecousia sp015068225, 95.0, 79.72, 0.28; GCA_017624715.1, s__Faecousia sp017624715, 95.0, 79.71, 0.19; GCA_017461445.1, s__Faecousia sp017461445, 95.0, 79.66, 0.17; GCA_015067845.1, s__Faecousia sp015067845, 95.0, 79.62, 0.19; GCA_015068125.1, s__Faecousia sp015068125, 95.0, 79.49, 0.23; GCA_015068135.1, s__Faecousia sp015068135, 95.0, 79.49, 0.16; GCA_015067545.1, s__Faecousia sp015067545, 95.0, 79.47, 0.22; GCA_017936985.1, s__Faecousia sp017936985, 95.0, 79.47, 0.14; GCA_017398625.1, s__Faecousia sp017398625, 95.0, 79.39, 0.28; GCA_015067495.1, s__Faecousia sp015067495, 95.0, 79.3, 0.21; GCA_017435525.1, s__Faecousia sp017435525, 95.0, 79.3, 0.24; GCA_004562395.1, s__Faecousia sp004562395, 95.0, 79.27, 0.17; GCA_017630495.1, s__Faecousia sp017630495, 95.0, 79.26, 0.23; GCA_017456645.1, s__Faecousia sp017456645, 95.0, 79.24, 0.18; GCA_018713285.1, s__Faecousia excrementigallinarum, 95.0, 79.24, 0.16; GCA_017620525.1, s__Faecousia sp017620525, 95.0, 79.22, 0.12; GCA_018712645.1, s__Faecousia faecavium, 95.0, 79.22, 0.15; GCA_017416325.1, s__Faecousia sp017416325, 95.0, 79.21, 0.21; GCA_017621795.1, s__Faecousia sp017621795, 95.0, 79.2, 0.15; GCA_017501695.1, s__Faecousia sp017501695, 95.0, 79.2, 0.16; GCA_017622295.1, s__Faecousia sp017622295, 95.0, 79.18, 0.19; GCA_017436955.1, s__Faecousia sp017436955, 95.0, 79.14, 0.22; GCA_017452505.1, s__Faecousia sp017452505, 95.0, 79.13, 0.19; GCA_017409205.1, s__Faecousia sp017409205, 95.0, 79.1, 0.19; GCA_018715835.1, s__Faecousia intestinavium, 95.0, 79.09, 0.17; GCA_017624645.1, s__Faecousia sp017624645, 95.0, 79.04, 0.24; GCA_900762245.1, s__Faecousia sp900762245, 95.0, 79.04, 0.18; GCA_017398105.1, s__Faecousia sp017398105, 95.0, 79.02, 0.15; GCA_017457285.1, s__Faecousia sp017457285, 95.0, 79.02, 0.2; GCA_017508045.1, s__Faecousia sp017508045, 95.0, 79.02, 0.19; GCA_017465745.1, s__Faecousia sp017465745, 95.0, 79.01, 0.16; GCA_017632035.1, s__Faecousia sp017632035, 95.0, 79.01, 0.23; GCA_017437095.1, s__Faecousia sp017437095, 95.0, 78.99, 0.2; GCA_015068305.1, s__Faecousia sp015068305, 95.0, 78.95, 0.17; GCA_017521485.1, s__Faecousia sp017521485, 95.0, 78.91, 0.28; GCA_015067945.1, s__Faecousia sp015067945, 95.0, 78.9, 0.19; GCA_017440925.1, s__Faecousia sp017440925, 95.0, 78.9, 0.15; GCA_017506735.1, s__Faecousia sp017506735, 95.0, 78.9, 0.17; GCA_900554625.1, s__Faecousia sp900554625, 95.0, 78.85, 0.13; GCA_017397565.1, s__Faecousia sp017397565, 95.0, 78.83, 0.18; GCA_015068495.1, s__Faecousia sp015068495, 95.0, 78.82, 0.18; GCA_017939025.1, s__Faecousia sp017939025, 95.0, 78.82, 0.11; GCA_017631155.1, s__Faecousia sp017631155, 95.0, 78.82, 0.19; GCA_900544405.1, s__Faecousia sp900544405, 95.0, 78.79, 0.13; GCA_017561205.1, s__Faecousia sp017561205, 95.0, 78.79, 0.21; GCA_017435615.1, s__Faecousia sp017435615, 95.0, 78.78, 0.15; GCA_017456105.1, s__Faecousia sp017456105, 95.0, 78.77, 0.27; GCA_017502265.1, s__Faecousia sp017502265, 95.0, 78.75, 0.25; GCA_015068175.1, s__Faecousia sp015068175, 95.0, 78.75, 0.19; GCA_018712825.1, s__Faecousia excrementipullorum, 95.0, 78.74, 0.19; GCA_017436035.1, s__Faecousia sp017436035, 95.0, 78.72, 0.24; GCA_000434635.1, s__Faecousia sp000434635, 95.0, 78.71, 0.15; GCA_900546075.1, s__Faecousia sp900546075, 95.0, 78.71, 0.15; GCA_004555705.1, s__Faecousia sp004555705, 95.0, 78.7, 0.15; GCA_015067605.1, s__Faecousia sp015067605, 95.0, 78.7, 0.17; GCA_015068165.1, s__Faecousia sp015068165, 95.0, 78.68, 0.2; GCA_015068155.1, s__Faecousia sp015068155, 95.0, 78.67, 0.2; GCA_017547505.1, s__Faecousia sp017547505, 95.0, 78.66, 0.19; GCA_015067785.1, s__Faecousia sp015067785, 95.0, 78.64, 0.17; GCA_017411905.1, s__Faecousia sp017411905, 95.0, 78.64, 0.17; GCA_002362625.1, s__Faecousia sp002362625, 95.0, 78.62, 0.13; GCA_900763965.1, s__Faecousia sp900763965, 95.0, 78.57, 0.16; GCA_015067665.1, s__Faecousia sp015067665, 95.0, 78.55, 0.14; GCA_017516785.1, s__Faecousia sp017516785, 95.0, 78.52, 0.15; GCA_017398725.1, s__Faecousia sp017398725, 95.0, 78.5, 0.22; GCA_017555395.1, s__Faecousia sp017555395, 95.0, 78.49, 0.16; GCA_017436785.1, s__Faecousia sp017436785, 95.0, 78.49, 0.14; GCA_017416245.1, s__Faecousia sp017416245, 95.0, 78.45, 0.18; GCA_900544945.1, s__Faecousia sp900544945, 95.0, 78.44, 0.17; GCA_017505505.1, s__Faecousia sp017505505, 95.0, 78.41, 0.15; GCA_015067935.1, s__Faecousia sp015067935, 95.0, 78.41, 0.18; GCA_017516925.1, s__Faecousia sp017516925, 95.0, 78.37, 0.18; GCA_017465625.1, s__Faecousia sp017465625, 95.0, 78.36, 0.13; GCA_002436765.1, s__Faecousia sp002436765, 95.0, 78.35, 0.16; GCA_017466215.1, s__Faecousia sp017466215, 95.0, 78.34, 0.21; GCA_017507425.1, s__Faecousia sp017507425, 95.0, 78.32, 0.11; GCA_017410075.1, s__Faecousia sp017410075, 95.0, 78.31, 0.2; GCA_017452605.1, s__Faecousia sp017452605, 95.0, 78.27, 0.19; GCA_015067835.1, s__Faecousia sp015067835, 95.0, 78.26, 0.17; GCA_017435245.1, s__Faecousia sp017435245, 95.0, 78.23, 0.18; GCA_017381835.1, s__Faecousia sp017381835, 95.0, 78.21, 0.16; GCA_015067635.1, s__Faecousia sp015067635, 95.0, 78.2, 0.16; GCA_900769845.1, s__Faecousia sp900769845, 95.0, 78.19, 0.18; GCA_017380435.1, s__Faecousia sp017380435, 95.0, 78.19, 0.17; GCA_017473455.1, s__Faecousia sp017473455, 95.0, 78.17, 0.17; GCA_017537045.1, s__Faecousia sp017537045, 95.0, 78.17, 0.13; GCA_002493965.1, s__Faecousia sp002493965, 95.0, 78.08, 0.14; GCA_017548065.1, s__Faecousia sp017548065, 95.0, 78.05, 0.13; GCA_018715805.1, s__Faecousia intestinigallinarum, 95.0, 78.02, 0.15; GCA_017466665.1, s__Faecousia sp017466665, 95.0, 77.99, 0.17; GCA_017549125.1, s__Faecousia sp017549125, 95.0, 77.9, 0.12; GCA_017399325.1, s__Faecousia sp017399325, 95.0, 77.73, 0.15; GCA_905205195.1, s__Faecousia sp900762935, 95.0, 77.69, 0.15; GCA_900769835.1, s__Faecousia sp900769835, 95.0, 77.67, 0.18; GCA_017646545.1, s__Faecousia sp017646545, 95.0, 77.66, 0.22; GCA_017521875.1, s__Faecousia sp017521875, 95.0, 76.78, 0.15	59.09	11	0.9557174744776474	N/A
BIN60	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	89.12	11	0.8738949608894444	N/A
BIN600	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Limiplasma;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-74;g__Limiplasma;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017517815.1, s__Limiplasma sp017517815, 95.0, 82.4, 0.47; GCA_017938645.1, s__Limiplasma sp017938645, 95.0, 81.99, 0.46; GCA_017473345.1, s__Limiplasma sp017473345, 95.0, 81.54, 0.55; GCA_017547285.1, s__Limiplasma sp017547285, 95.0, 81.5, 0.52; GCA_016297535.1, s__Limiplasma sp016297535, 95.0, 80.85, 0.55; GCA_018710985.1, s__Limiplasma pullicola, 95.0, 80.09, 0.46; GCA_900540045.1, s__Limiplasma merdipullorum, 95.0, 79.84, 0.42; GCA_900553905.1, s__Limiplasma pullistercoris, 95.0, 79.67, 0.45; GCA_015056315.1, s__Limiplasma sp015056315, 95.0, 79.51, 0.35; GCA_017937655.1, s__Limiplasma sp017937655, 95.0, 79.46, 0.41; GCA_015056245.1, s__Limiplasma sp015056245, 95.0, 79.45, 0.32; GCA_015056365.1, s__Limiplasma sp015056365, 95.0, 79.39, 0.35; GCA_017516765.1, s__Limiplasma sp017516765, 95.0, 79.31, 0.33; GCA_017501255.1, s__Limiplasma sp017501255, 95.0, 79.24, 0.33; GCA_900550955.1, s__Limiplasma sp900550955, 95.0, 79.17, 0.43; GCA_900548145.1, s__Limiplasma sp900548145, 95.0, 78.88, 0.32; GCA_004556545.1, s__Limiplasma sp004556545, 95.0, 78.83, 0.3; GCA_015056145.1, s__Limiplasma sp015056145, 95.0, 78.53, 0.28; GCA_018715175.1, s__Limiplasma stercoravium, 95.0, 78.07, 0.38; GCA_012517815.1, s__Limiplasma sp012517815, 95.0, 77.85, 0.2; GCA_001604115.1, s__Limiplasma sp001604115, 95.0, 77.49, 0.21; GCA_009783365.1, s__Limiplasma sp009783365, 95.0, 77.0, 0.07; GCA_012729115.1, s__Limiplasma sp012729115, 95.0, 76.97, 0.13; GCA_016930575.1, s__Limiplasma sp016930575, 95.0, 76.89, 0.15; GCA_017881705.1, s__Limiplasma sp017881705, 95.0, 76.82, 0.18; GCA_012523405.1, s__Limiplasma sp012523405, 95.0, 76.73, 0.1; GCA_001604105.1, s__Limiplasma sp001604105, 95.0, 76.66, 0.09	93.37	11	0.9645195727501306	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
BIN601	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (6.9%)
BIN602	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (4.9%)
BIN603	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Borkfalkiaceae;g__UBA1259;s__	ANI	classification based on placement in class-level tree	GCA_017621955.1, s__UBA1259 sp017621955, 95.0, 79.72, 0.18; GCA_017501885.1, s__UBA1259 sp017501885, 95.0, 79.59, 0.19; GCA_905211955.1, s__UBA1259 sp905211955, 95.0, 79.22, 0.23; GCA_015055945.1, s__UBA1259 sp015055945, 95.0, 78.64, 0.19; GCA_900771345.1, s__UBA1259 sp900771345, 95.0, 78.5, 0.19; GCA_017502525.1, s__UBA1259 sp017502525, 95.0, 78.34, 0.24; GCA_017399945.1, s__UBA1259 sp017399945, 95.0, 78.31, 0.19; GCA_900770685.1, s__UBA1259 sp900770685, 95.0, 78.27, 0.23; GCA_017465145.1, s__UBA1259 sp017465145, 95.0, 78.24, 0.24; GCA_017456055.1, s__UBA1259 sp017456055, 95.0, 78.18, 0.23; GCA_900769565.1, s__UBA1259 sp900769565, 95.0, 78.12, 0.21; GCA_017631725.1, s__UBA1259 sp017631725, 95.0, 77.93, 0.23; GCA_017558105.1, s__UBA1259 sp017558105, 95.0, 77.84, 0.27; GCA_905235765.1, s__UBA1259 sp905235765, 95.0, 77.81, 0.08; GCA_015069465.1, s__UBA1259 sp015069465, 95.0, 77.8, 0.21; GCA_015055735.1, s__UBA1259 sp015055735, 95.0, 77.8, 0.16; GCA_015055725.1, s__UBA1259 sp015055725, 95.0, 77.73, 0.2; GCA_015069625.1, s__UBA1259 sp015069625, 95.0, 77.72, 0.16; GCA_017467345.1, s__UBA1259 sp017467345, 95.0, 77.64, 0.19; GCA_017399035.1, s__UBA1259 sp017399035, 95.0, 77.57, 0.17; GCA_015069425.1, s__UBA1259 sp015069425, 95.0, 77.51, 0.18; GCA_904502225.1, s__UBA1259 sp904502225, 95.0, 77.5, 0.18; GCA_015069505.1, s__UBA1259 sp015069505, 95.0, 77.42, 0.14; GCA_900320065.1, s__UBA1259 sp900320065, 95.0, 77.41, 0.07; GCA_017397305.1, s__UBA1259 sp017397305, 95.0, 77.39, 0.19; GCA_017648525.1, s__UBA1259 sp017648525, 95.0, 77.39, 0.21; GCA_017445995.1, s__UBA1259 sp017445995, 95.0, 77.32, 0.14; GCA_904501795.1, s__UBA1259 sp904501795, 95.0, 77.29, 0.24; GCA_015055805.1, s__UBA1259 sp015055805, 95.0, 77.19, 0.14; GCA_017503265.1, s__UBA1259 sp017503265, 95.0, 77.17, 0.22; GCA_900760875.1, s__UBA1259 sp900760875, 95.0, 77.13, 0.04; GCA_017456945.1, s__UBA1259 sp017456945, 95.0, 77.11, 0.19; GCA_017554545.1, s__UBA1259 sp017554545, 95.0, 77.1, 0.23; GCA_905210545.1, s__UBA1259 sp905210545, 95.0, 77.09, 0.1; GCA_017505625.1, s__UBA1259 sp017505625, 95.0, 77.07, 0.19; GCA_015069265.1, s__UBA1259 sp015069265, 95.0, 77.06, 0.15; GCA_017505675.1, s__UBA1259 sp017505675, 95.0, 76.94, 0.18; GCA_016295005.1, s__UBA1259 sp016295005, 95.0, 76.93, 0.08; GCA_017448355.1, s__UBA1259 sp017448355, 95.0, 76.77, 0.08; GCA_902767225.1, s__UBA1259 sp902767225, 95.0, 76.76, 0.14; GCA_003523255.1, s__UBA1259 sp003523255, 95.0, 76.69, 0.08; GCA_905235785.1, s__UBA1259 sp905235785, 95.0, 76.6, 0.09; GCA_017457015.1, s__UBA1259 sp017457015, 95.0, 76.59, 0.11; GCA_017615975.1, s__UBA1259 sp017615975, 95.0, 76.5, 0.09; GCA_017414525.1, s__UBA1259 sp017414525, 95.0, 76.48, 0.14; GCA_002308755.1, s__UBA1259 sp002308755, 95.0, 76.41, 0.04; GCA_017612915.1, s__UBA1259 sp017612915, 95.0, 76.03, 0.08; GCA_017616925.1, s__UBA1259 sp017616925, 95.0, 75.71, 0.06	91.36	11	0.9259243430493772	N/A
BIN604	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__UBA11549;s__UBA11549 sp900550445	GCA_900550445.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__UBA11549;s__UBA11549 sp900550445	95.78	0.91	GCA_900550445.1	95.0	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__UBA11549;s__UBA11549 sp900550445	95.78	0.91	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__UBA11549;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902777205.1, s__UBA11549 sp902777205, 95.0, 79.93, 0.61; GCA_002439085.1, s__UBA11549 sp002439085, 95.0, 79.62, 0.58; GCA_900768185.1, s__UBA11549 sp900768185, 95.0, 79.49, 0.52; GCA_017480385.1, s__UBA11549 sp017480385, 95.0, 79.31, 0.52; GCA_017616015.1, s__UBA11549 sp017616015, 95.0, 79.29, 0.51; GCA_017539865.1, s__UBA11549 sp017539865, 95.0, 79.23, 0.48; GCA_002440235.1, s__UBA11549 sp002440235, 95.0, 79.22, 0.53; GCA_017476085.1, s__UBA11549 sp017476085, 95.0, 78.7, 0.53	94.48	11	N/A	N/A
BIN605	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (5.8%)
BIN606	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (2.9%)
BIN607	Unclassified	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	No bacterial or archaeal marker
BIN608	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	N/A	N/A	N/A	N/A	N/A	GCA_017435615.1	95.0	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__Faecousia sp017435615	80.34	0.42	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_017621795.1, s__Faecousia sp017621795, 95.0, 81.67, 0.4; GCA_017465625.1, s__Faecousia sp017465625, 95.0, 80.08, 0.38; GCA_015067545.1, s__Faecousia sp015067545, 95.0, 79.67, 0.22; GCA_015068135.1, s__Faecousia sp015068135, 95.0, 79.65, 0.21; GCA_017466665.1, s__Faecousia sp017466665, 95.0, 79.63, 0.41; GCA_017482385.1, s__Faecousia sp017482385, 95.0, 79.61, 0.23; GCA_900762245.1, s__Faecousia sp900762245, 95.0, 79.48, 0.18; GCA_017398625.1, s__Faecousia sp017398625, 95.0, 79.47, 0.31; GCA_017624715.1, s__Faecousia sp017624715, 95.0, 79.42, 0.22; GCA_017380435.1, s__Faecousia sp017380435, 95.0, 79.36, 0.37; GCA_015068125.1, s__Faecousia sp015068125, 95.0, 79.26, 0.28; GCA_017624645.1, s__Faecousia sp017624645, 95.0, 79.24, 0.23; GCA_017456645.1, s__Faecousia sp017456645, 95.0, 79.24, 0.23; GCA_015067845.1, s__Faecousia sp015067845, 95.0, 79.23, 0.22; GCA_017436955.1, s__Faecousia sp017436955, 95.0, 79.22, 0.3; GCA_017416325.1, s__Faecousia sp017416325, 95.0, 79.18, 0.25; GCA_017939025.1, s__Faecousia sp017939025, 95.0, 79.16, 0.12; GCA_017415425.1, s__Faecousia sp017415425, 95.0, 79.15, 0.29; GCA_015068155.1, s__Faecousia sp015068155, 95.0, 79.11, 0.21; GCA_015067495.1, s__Faecousia sp015067495, 95.0, 79.11, 0.21; GCA_017561205.1, s__Faecousia sp017561205, 95.0, 79.06, 0.23; GCA_017461445.1, s__Faecousia sp017461445, 95.0, 78.99, 0.16; GCA_015067945.1, s__Faecousia sp015067945, 95.0, 78.98, 0.24; GCA_017630495.1, s__Faecousia sp017630495, 95.0, 78.93, 0.29; GCA_018712825.1, s__Faecousia excrementipullorum, 95.0, 78.9, 0.21; GCA_018712645.1, s__Faecousia faecavium, 95.0, 78.86, 0.16; GCA_017456105.1, s__Faecousia sp017456105, 95.0, 78.84, 0.33; GCA_017416245.1, s__Faecousia sp017416245, 95.0, 78.84, 0.22; GCA_017457285.1, s__Faecousia sp017457285, 95.0, 78.84, 0.22; GCA_017408725.1, s__Faecousia sp017408725, 95.0, 78.83, 0.2; GCA_015067665.1, s__Faecousia sp015067665, 95.0, 78.82, 0.22; GCA_017398105.1, s__Faecousia sp017398105, 95.0, 78.79, 0.14; GCA_015068225.1, s__Faecousia sp015068225, 95.0, 78.77, 0.28; GCA_017397565.1, s__Faecousia sp017397565, 95.0, 78.77, 0.21; GCA_017473225.1, s__Faecousia sp017473225, 95.0, 78.77, 0.18; GCA_017502265.1, s__Faecousia sp017502265, 95.0, 78.76, 0.28; GCA_017622295.1, s__Faecousia sp017622295, 95.0, 78.76, 0.18; GCA_015068495.1, s__Faecousia sp015068495, 95.0, 78.76, 0.24; GCA_017465745.1, s__Faecousia sp017465745, 95.0, 78.75, 0.15; GCA_017506735.1, s__Faecousia sp017506735, 95.0, 78.72, 0.16; GCA_017521485.1, s__Faecousia sp017521485, 95.0, 78.7, 0.34; GCA_017632035.1, s__Faecousia sp017632035, 95.0, 78.68, 0.23; GCA_000434635.1, s__Faecousia sp000434635, 95.0, 78.67, 0.14; GCA_017549125.1, s__Faecousia sp017549125, 95.0, 78.66, 0.18; GCA_015067835.1, s__Faecousia sp015067835, 95.0, 78.66, 0.21; GCA_017452505.1, s__Faecousia sp017452505, 95.0, 78.64, 0.23; GCA_017398725.1, s__Faecousia sp017398725, 95.0, 78.61, 0.24; GCA_015067935.1, s__Faecousia sp015067935, 95.0, 78.6, 0.23; GCA_004562395.1, s__Faecousia sp004562395, 95.0, 78.58, 0.17; GCA_017501695.1, s__Faecousia sp017501695, 95.0, 78.57, 0.16; GCA_015068305.1, s__Faecousia sp015068305, 95.0, 78.55, 0.18; GCA_015067605.1, s__Faecousia sp015067605, 95.0, 78.52, 0.19; GCA_900544945.1, s__Faecousia sp900544945, 95.0, 78.51, 0.17; GCA_017631155.1, s__Faecousia sp017631155, 95.0, 78.49, 0.25; GCA_900763965.1, s__Faecousia sp900763965, 95.0, 78.48, 0.16; GCA_017508045.1, s__Faecousia sp017508045, 95.0, 78.47, 0.26; GCA_017547505.1, s__Faecousia sp017547505, 95.0, 78.44, 0.23; GCA_017436035.1, s__Faecousia sp017436035, 95.0, 78.42, 0.28; GCA_900544405.1, s__Faecousia sp900544405, 95.0, 78.4, 0.15; GCA_018713285.1, s__Faecousia excrementigallinarum, 95.0, 78.38, 0.21; GCA_017516925.1, s__Faecousia sp017516925, 95.0, 78.37, 0.23; GCA_015067635.1, s__Faecousia sp015067635, 95.0, 78.35, 0.23; GCA_017435525.1, s__Faecousia sp017435525, 95.0, 78.35, 0.23; GCA_900769835.1, s__Faecousia sp900769835, 95.0, 78.33, 0.23; GCA_017436785.1, s__Faecousia sp017436785, 95.0, 78.32, 0.13; GCA_015068165.1, s__Faecousia sp015068165, 95.0, 78.3, 0.28; GCA_004555705.1, s__Faecousia sp004555705, 95.0, 78.29, 0.15; GCA_017936985.1, s__Faecousia sp017936985, 95.0, 78.29, 0.15; GCA_900546075.1, s__Faecousia sp900546075, 95.0, 78.27, 0.16; GCA_015067785.1, s__Faecousia sp015067785, 95.0, 78.22, 0.24; GCA_017435245.1, s__Faecousia sp017435245, 95.0, 78.22, 0.21; GCA_018715835.1, s__Faecousia intestinavium, 95.0, 78.15, 0.18; GCA_017437095.1, s__Faecousia sp017437095, 95.0, 78.13, 0.25; GCA_017521875.1, s__Faecousia sp017521875, 95.0, 78.11, 0.2; GCA_017516785.1, s__Faecousia sp017516785, 95.0, 78.11, 0.14; GCA_017409205.1, s__Faecousia sp017409205, 95.0, 78.11, 0.16; GCA_002436765.1, s__Faecousia sp002436765, 95.0, 78.06, 0.16; GCA_900769845.1, s__Faecousia sp900769845, 95.0, 78.04, 0.19; GCA_017452605.1, s__Faecousia sp017452605, 95.0, 78.04, 0.24; GCA_900554625.1, s__Faecousia sp900554625, 95.0, 78.03, 0.14; GCA_017473455.1, s__Faecousia sp017473455, 95.0, 78.01, 0.19; GCA_015068175.1, s__Faecousia sp015068175, 95.0, 77.93, 0.19; GCA_017466215.1, s__Faecousia sp017466215, 95.0, 77.93, 0.31; GCA_017505505.1, s__Faecousia sp017505505, 95.0, 77.9, 0.15; GCA_017548065.1, s__Faecousia sp017548065, 95.0, 77.89, 0.15; GCA_018715805.1, s__Faecousia intestinigallinarum, 95.0, 77.88, 0.14; GCA_017555395.1, s__Faecousia sp017555395, 95.0, 77.84, 0.17; GCA_017410075.1, s__Faecousia sp017410075, 95.0, 77.83, 0.3; GCA_002362625.1, s__Faecousia sp002362625, 95.0, 77.81, 0.15; GCA_017381835.1, s__Faecousia sp017381835, 95.0, 77.79, 0.17; GCA_017537045.1, s__Faecousia sp017537045, 95.0, 77.76, 0.11; GCA_017399325.1, s__Faecousia sp017399325, 95.0, 77.72, 0.23; GCA_017411905.1, s__Faecousia sp017411905, 95.0, 77.68, 0.34; GCA_002493965.1, s__Faecousia sp002493965, 95.0, 77.6, 0.17; GCA_017440925.1, s__Faecousia sp017440925, 95.0, 77.5, 0.14; GCA_017620525.1, s__Faecousia sp017620525, 95.0, 77.49, 0.11; GCA_017646545.1, s__Faecousia sp017646545, 95.0, 77.32, 0.19; GCA_017507425.1, s__Faecousia sp017507425, 95.0, 77.21, 0.13; GCA_905205195.1, s__Faecousia sp900762935, 95.0, 77.12, 0.13	91.36	11	0.9764088684823893	N/A
BIN609	Unclassified Bacteria	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Insufficient number of amino acids in MSA (7.4%)
